job_id,name,job_title,salary_year_avg
226942,Mantys,Data Analyst,650000.0
547382,Meta,Director of Analytics,336500.0
552322,AT&T,Associate Director- Data Insights,255829.5
99305,Pinterest Job Advertisements,"Data Analyst, Marketing",232423.0
1021647,Uclahealthcareers,Data Analyst (Hybrid/Remote),217000.0
168310,SmartAsset,Principal Data Analyst (Remote),205000.0
731368,Inclusively,"Director, Data Analyst - HYBRID",189309.0
310660,Motional,"Principal Data Analyst, AV Performance Analysis",189000.0
1749593,SmartAsset,Principal Data Analyst,186000.0
387860,Get It Recruit - Information Technology,ERM Data Analyst,184000.0
